A4B7 INTEGRIN SIGNALING	A4B7_PATHWAY	ITGA4,PXN,ITGB7,RHOA,PTK2,ITGB1,CD44,MADCAM1,VCAM1
A6B1 AND A6B4 INTEGRIN SIGNALING	A6B1_A6B4_INTEGRIN_PATHWAY	YWHAG,LAMA1,RXRA,LAMB1,ITGA6,IL1A,YWHAZ,ERBB2,YWHAB,YWHAH,PIK3R1,LAMA3,RXRB,CDH1,LAMB2,LAMC3,LAMA2,PMP22,LAMB3,ITGB4,PRKCA,RAC1,GRB2,YWHAQ,COL17A1,MST1R,LAMC1,LAMA5,ITGB1,SHC1,SFN,ERBB3,CASP7,HRAS,LAMA4,LAMC2,RXRG,EGFR,EGF,YWHAE,MST1,MET,CD9,RPS6KB1,AKT1,PIK3CA
ALK1 PATHWAY	ALK1_2PATHWAY	ACVR1,ACVRL1,FKBP1A
ALK1 SIGNALING EVENTS	ALK1PATHWAY	GDF2,SMAD1,SMAD9,MAPK3,BMPR2,CAV1,ACVR1,INHBA,ACVR2B,ENG,CSNK2B,SMAD4,PPP1CA,TGFB1,ARRB2,TGFBR1,ID1,TGFB3,SMAD5,TGFBR2,FKBP1A,ACVR2A,TLX2,ACVRL1,MAPK1,SMAD7
ALK2 SIGNALING EVENTS	ALK2PATHWAY	BMP7,AMHR2,SMAD9,BMPR2,AMH,SMAD4,TLX2,SMAD5,FKBP1A,ACVR1,SMAD1
ALPHA-SYNUCLEIN SIGNALING	ALPHASYNUCLEIN_PATHWAY	PARK2,CSNK2A1,PTK2B,HCK,PLD1,BLK,SNCAIP,TOR1A,PARK7,PLCB2,SRC,FYN,SLC6A3,MAPK3,TH,BAD,FGR,MAPK1,SYK,FKBP1A,LYN,KLK6,MAOB,PLD2,PPP2R5D,UBE2L3,YES1,PRKCD,LCK,GRK5,UCHL1,STUB1,SNCA
ALPHA4 BETA1 INTEGRIN SIGNALING EVENTS	INTEGRIN_A4B1_PATHWAY	TLN1,SRC,RAC1,ADAM28,PTPRA,FN1,DOCK1,JAM2,PRKACB,PRKACA,CD14,CRK,PXN,VCAM1,MDK,THBS1,SPP1,YWHAZ,ITGA4,BCAR1,ABI1,PRKAR1B,MYH2,AMICA1,GIT1,PTK2B,THBS2,PRKAR1A,ARF6,PTK2,IGSF8,ITGB1,CD81
ALPHA6 BETA4 INTEGRIN-LIGAND INTERACTIONS	INTEGRIN4_PATHWAY	LAMB3,LAMC1,LAMC2,LAMB1,LAMA2,LAMA1,ITGB4,LAMA3,LAMB2,LAMA5,ITGA6
ALPHA9 BETA1 INTEGRIN SIGNALING EVENTS	INTEGRIN_A9B1_PATHWAY	RAC1,NOS2,ITGB1,ADAM8,VEGFA,BCAR1,SRC,ITGA9,F13A1,FIGF,VEGFC,KCNJ15,TNC,SAT1,PXN,PAOX,FN1,SPP1,TGM2,ADAM2,ADAM12,VCAM1,CSF2RA,ADAM15,CSF2
ALPHAE BETA7 INTEGRIN CELL SURFACE INTERACTIONS	INTEGRIN7_PATHWAY	CDH1,ITGB7,ITGAE
