gene	pvalue with CHD4
AP1B1	0.292585016454
AR	0.00251369876245
ATP5J	3.49621426298e-08
BMP4	0.496088966698
BRCA1	4.34022185283e-05
CDKN1B	0.530465688862
CEBPB	0.0212797364384
AP1B1	0.292585016454
AR	0.00251369876245
ATP5J	3.49621426298e-08
BMP4	0.496088966698
BRCA1	4.34022185283e-05
CDKN1B	0.530465688862
CEBPB	0.0212797364384
COL18A1	0.131073112602
CREBBP	3.26286684397e-13
DSCAM	0.0504385255537
EP300	5.75852142066e-08
ESR1	0.836942423489
FGF7	0.123316630446
FOS	0.634447967948
FOXA3	0.800915364335
FURIN	0.553773234521
GPC3	0.888696052615
HDAC1	0.559338748055
HDAC4	0.00020023878071
JUN	0.42063071153
MAPK9	0.330218738555
MDM2	0.0627874541592
NCOA3	6.42701729878e-06
NFIA	0.00725546718369
NFIB	0.0497870683679
NFIC	0.000155478981917
NKX3-1	0.793739466035
NR2F2	0.823657904269
NRIP1	0.813833076283
PIAS1	0.0566989265798
PIAS2	0.623130071178
PISD	0.0209001279086
POU2F1	0.00047083633896
PRDM15	1.70249641099e-07
PTCH1	7.43296966768e-05
RANBP2	2.52506255568e-09
RANGAP1	0.0522873924036
RAN	0.000370002794371
SERPINA1	0.0397955572423
SFTPD	0.795328533505
SHH	0.971416464467
SOD1	3.93505738492e-05
SP1	1.0172426179e-07
SUMO1	1.69541146735e-05
XBP1	0.00444933781275
XPO1	0.392978647755
COL18A1	0.131073112602
CREBBP	3.26286684397e-13
DSCAM	0.0504385255537
EP300	5.75852142066e-08
ESR1	0.836942423489
FGF7	0.123316630446
FOS	0.634447967948
FOXA3	0.800915364335
FURIN	0.553773234521
GPC3	0.888696052615
HDAC1	0.559338748055
HDAC4	0.00020023878071
JUN	0.42063071153
MAPK9	0.330218738555
MDM2	0.0627874541592
NCOA3	6.42701729878e-06
NFIA	0.00725546718369
NFIB	0.0497870683679
NFIC	0.000155478981917
NKX3-1	0.793739466035
NR2F2	0.823657904269
NRIP1	0.813833076283
PIAS1	0.0566989265798
PIAS2	0.623130071178
PISD	0.0209001279086
POU2F1	0.00047083633896
PRDM15	1.70249641099e-07
PTCH1	7.43296966768e-05
RANBP2	2.52506255568e-09
RANGAP1	0.0522873924036
RAN	0.000370002794371
SERPINA1	0.0397955572423
SFTPD	0.795328533505
SHH	0.971416464467
SOD1	3.93505738492e-05
SP1	1.0172426179e-07
SUMO1	1.69541146735e-05
XBP1	0.00444933781275
XPO1	0.392978647755
